No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
662,30.08,472,3,12.5,-135,4,0,,
1087,58.12,365,2,8.8,-83,4,0,,
1266,44.09,450,1.8,11.2,-80,4,0,,
297,86.47,632,0,26.9,-78,0,1,,
1706,100.5,232,1,6,-57,4,0,,
1370,72.15,468,1.3,7.6,-57,4,0,,
203,58.1,287,1.8,8.4,-56,4,0,,
1036,72.15,420,1.4,7.6,-51,4,0,4,0
1374,72.15,404,1.4,7.8,-50,4,0,,
550,66.05,454,3.9,16.9,-50,4,1,4,1
298,64.5,510,3.6,14.8,-50,4,0,,
301,50.49,632,8.1,17.4,-50,4,0,,
1701,72.11,202,1.3,28,-46,4,2,,
444,74.14,160,1.7,49,-45,4,1,4,1
193,94.9,536,10,16,-44,1,0,,
489,46.07,350,3.4,18,-42,4,1,,
551,46.07,350,3.4,18,-41,4,1,4,1
4,44.06,140,4,57,-39,4,2,,
219,73.14,379,1.5,9.2,-38,3,0,3,0
356,70.1,361,1.1,8.7,-37,3,0,3,1
1291,58.09,449,2.3,36,-37,4,2,4,2
60,59.11,317,2,10.4,-36,3,0,3,0
805,68.08,390,2.3,14.3,-36,4,1,,
950,59.11,330,2.3,10,-35,4,0,,
1099,88.17,460,1,8,-33,3,1,,
1081,86.18,278,1.2,7,-32,3,0,,
1029,31.07,430,4.9,20.7,-30,4,0,,
49,57.1,370,2.2,22,-29,3,1,3,0
359,68.12,395,1.5,12.1,-29,3,,3,1
465,102.2,405,1.4,22,-28,3,1,3,1
1055,60.05,449,5,23,-28,4,0,4,0
243,88.15,460,2.5,15.1,-28,3,0,3,0
1271,58.08,207,2.6,17,-27,3,2,,
24,56.07,234,2.8,31,-26,3,3,3,3
877,84.16,253,1.2,6.9,-26,3,0,3,0
423,73.14,312,1.8,10.1,-26,3,0,3,2
234,72.12,370,3.9,20.6,-25.5,3,2,3,2
873,86.18,225,1.1,7.5,-22,3,0,,
1080,86.18,264,1,7,-22,3,0,,
701,74.1,455,2.7,16.5,-20,3,0,,
191,108.97,510,6.75,11.2,-20,1,0,3,2
218,73.1,378,1.4,9.8,-19,3,,,
471,76.1,235,1.6,17.6,-18,3,2,,
344,84.2,260,1.3,8.4,-18,3,0,3,1
768,70,419,1.5,8.7,-18,3,0,3,0
698,44.06,429,3,100,-18,4,3,,
11,58.09,465,2.2,13,-18,3,0,3,0
675,45.1,385,3.5,14,-17,4,0,3,1
1543,72.12,321,1.8,11.8,-14,3,1,,
1026,74.09,454,3.1,16,-13,3,0,3,0
252,72.1,199,2.5,12.5,-12,3,0,3,0
294,92.6,240,1.8,10.1,-12,3,0,,
1619,114.23,411,1.1,6,-12,3,0,,
1102,86.13,270,1.5,8.9,-11,3,1,3,1
128,78.12,498,1.3,7.9,-11,3,0,3,0
912,73.14,400,2,9,-10,3,0,,
910,56.11,465,1.8,9.6,-10,4,0,,
1276,122.99,490,3.4,0.1,-10,2,0,,
1052,72.11,404,1.8,11.5,-9,3,0,,
764,102,282.2,1.1,6.7,-8,3,0,3,0
1697,86.1,427,2.6,13.4,-8,3,2,,
930,106,442.2,0.9,6.3,-8,3,0,3,0
217,73.16,320,1.7,9.8,-7.5,3,0,3,0
862,98,232,1,7,-7,3,0,3,0
1595,101.22,249,1.2,8,-7,3,1,3,1
1423,101,320,0.8,8,-7,3,0,3,0
470,90.12,200,1.6,10.4,-6,3,0,,
464,101.22,295,1.1,7.1,-6,3,0,,
348,82.14,310,1.2,4.8,-6,3,0,3,1
494,100.2,337,1.1,6.7,-6,3,0,,
1620,112.22,391,0.8,4.8,-6,3,0,,
475,45.1,400,2.8,14.4,-6,4,0,,
409,98.96,458,5.6,11.4,-6,3,0,,
1011,72.12,460,1.4,11.4,-6,3,0,3,0
919,72.11,180,1.6,11,-5,3,1,3,1
857,100.23,204,1.05,7,-4,3,0,,
1043,98.19,250,1.2,6.7,-4,3,0,3,0
1048,84.18,315,1,8.4,-4,3,0,,
672,88.12,426,2.2,11.5,-4,3,0,,
413,84.94,605,14,22,-4,1,0,,
1060,100.2,279,1,7,-3.5,3,0,,
1059,100.2,220,1,6,-3,3,0,,
1028,86.09,463,2.8,100,-3,3,2,,
1088,88.12,469,2.5,13,-2,3,0,,
360,100.16,180,1.1,9.9,-1,3,0,,
50,120.98,295,4.4,7.3,-1,3,1,,
1567,84.14,395,1.5,12.5,-1,3,0,,
27,53.1,481,3.05,17,-1,3,0,3,0
1375,112,310,0.9,6.8,1,4,0,4,0
1621,112.22,305,0.9,6.4,2,3,0,3,1
337,55.08,512,3.1,14,2,3,1,3,1
9,102.15,479,1.76,7.2,2.2,3,0,,
1308,71.12,345,1.6,10.6,3,3,0,3,0
1572,92.15,480,1.3,6.7,4,3,0,3,0
214,116.16,518,1.26,6.8,4.4,3,0,3,0
1524,116.2,589,1.26,6.88,4.4,3,0,3,0
16,78.5,390,7.3,19,5,3,2,3,2
1057,114.23,420,1,5.8,6,3,0,,
12,41.06,524,3,16,6,3,0,3,0
1201,87.17,305,2.2,22,7,3,0,,
932,117,395,0.9,6.2,7,3,0,3,0
